Id,SalePrice
1461,133875.3608882436
1462,156398.06181750656
1463,175586.27755742814
1464,182017.10766905642
1465,188257.00307442027
1466,169466.21705846605
1467,166111.9355984035
1468,163862.8627770738
1469,184424.12327273012
1470,137598.5579768178
1471,186351.18702063625
1472,118263.16498304794
1473,118548.08346763643
1474,154233.1555512539
1475,132891.83653219452
1476,282893.79389149067
1477,220440.71055615362
1478,246267.62109885295
1479,242559.92447760256
1480,331263.38031369966
1481,256819.68298463762
1482,197632.20339400004
1483,171363.32127805587
1484,172626.2201914428
1485,185583.20911764022
1486,185419.9703010763
1487,262390.9064358714
1488,208035.63486703596
1489,185101.7340335497
1490,204713.51047093765
1491,187186.89524536618
1492,113713.40459140552
1493,178857.62325622438
1494,249780.2777619817
1495,241702.88239211508
1496,211505.66713612355
1497,174620.3780927758
1498,176440.6588279499
1499,167588.52239146302
1500,158828.11786769397
1501,170959.55495085492
1502,158273.33952080883
1503,233346.50858969774
1504,210748.09037834924
1505,205545.88866961724
1506,177787.41313392174
1507,206459.30662478643
1508,185830.2109388179
1509,160971.20156702344
1510,152549.90166727707
1511,158462.7965254282
1512,169333.8484084278
1513,154347.66114166388
1514,154504.07201024107
1515,177306.2890004038
1516,163778.43328240368
1517,158572.38620990358
1518,142918.12368857206
1519,198139.87452867848
1520,141018.80240876597
1521,142228.74694895485
1522,172676.9098402038
1523,125745.41129348965
1524,133894.8585824495
1525,132911.89790066684
1526,129752.23178919932
1527,120686.44196462278
1528,140353.59252297238
1529,154564.8824703189
1530,175876.0677903461
1531,138794.51097042314
1532,120512.53039162183
1533,152391.57170987944
1534,128501.04811572112
1535,154715.57705597222
1536,129209.08709258874
1537,90989.74494008624
1538,162280.79328179648
1539,192116.83859403242
1540,115748.28630318298
1541,151741.56473069915
1542,147970.69371239413
1543,179114.1609636545
1544,106211.49823356047
1545,131070.34096277636
1546,150497.18008680636
1547,151777.6681685588
1548,145248.76618343254
1549,132405.64606436787
1550,151489.65429296225
1551,126370.85944125833
1552,150752.7192097616
1553,154273.9223086278
1554,132570.31621553618
1555,166426.96429040693
1556,110664.80963922323
1557,124181.5641330138
1558,115808.49183305033
1559,96423.45646275136
1560,148876.94393260588
1561,131379.89660986076
1562,139255.86235116803
1563,133745.7705697175
1564,162674.94476476518
1565,158667.77044962803
1566,210985.55221460492
1567,101669.70175674597
1568,209365.96954052325
1569,145569.37724279988
1570,146665.83998171272
1571,133074.1270698542
1572,146139.5921615022
1573,205250.2333103709
1574,135627.2267185987
1575,217074.99306261347
1576,207151.2881317825
1577,179427.193334761
1578,154410.10204740192
1579,152622.96322255587
1580,183558.52879178207
1581,150444.68798945082
1582,139141.3696101557
1583,244467.42779530017
1584,201862.07752382007
1585,149189.43873274454
1586,94684.56626682752
1587,122370.64512812677
