SO2,NO,NOx,NO2,CO,O3,THC,CH4,NMHC,PM10,PM2.5,WS,WD,AT,RH 
1.4,0.6,15.7,15,0.8,20.5,2.3,2.2,0.1,43,37,0.5,21,15.9,63.8
1.4,1.3,15.9,14.6,0.81,18.7,2.3,2.2,0.1,47,47,0.4,20.2,15.9,64
1.3,2.7,19.4,16.7,0.99,17.3,2.4,2.2,0.1,40,31,0.4,69.6,15.8,63.8
1.5,5.9,27.2,21.3,1.1,5.1,2.6,2.3,0.3,40,51,0.6,161.5,15.1,70.8
1.5,4.9,25.2,20.3,0.91,6.8,2.4,2.2,0.2,58,51,0.6,185.1,14.9,70.8
1.6,3.9,23.7,19.8,0.99,6.9,2.6,2.3,0.3,58,51,0.4,202.6,14.7,71.8
2,15.5,41.8,26.3,1.12,4.9,2.6,2.3,0.3,63,51,0.3,174.2,14.6,70.7
2.1,25.9,48.5,22.7,1.2,4.2,2.6,2.3,0.3,70,56,0.5,180,15,71
2.2,18.8,39.9,21.1,1.18,7.8,2.8,2.5,0.3,71,65,0.5,181.9,16.3,67.3
3.2,14.4,38.1,23.7,0.98,17,2.7,2.4,0.3,66,47,0.6,197.9,18,58.4
2.4,8.7,29.9,21.1,0.85,26.9,2.5,2.2,0.3,50,35,0.9,338.9,19.7,53.1
2,5.2,21.2,16.1,0.64,40.9,2.3,2.2,0.1,50,35,0.7,343.4,22.1,46.9
1.5,3.2,16.3,13.1,0.55,52.2,2.3,2.1,0.2,44,28,1,309.6,23.5,43.2
1.7,3,16.7,13.7,0.59,57.6,2.3,2.1,0.1,47,36,1,339.2,24.5,40.5
2,2.4,18.1,15.7,0.76,62.2,2.3,2.1,0.2,64,39,0.8,307.5,25.3,40
2.1,3.1,22.2,19.1,0.77,53.7,2.3,2.1,0.2,68,38,0.9,323,24.4,43.6
2.1,2.4,20.8,18.5,0.62,47.7,2.3,2.1,0.2,68,42,0.8,3.1,22.7,48.9
2.1,2.5,26.1,23.6,0.8,33,2.4,2.2,0.2,72,52,0.5,349.5,20.9,55.7
